apellidos,formacion,apellidosNombre,genero,fchAlta,grupo,idCircunscripcion,nombreCircunscripcion,nombre,codParlamentario,dateOfBirth,legislaturas,mailto,img,twitter,facebook,personal-web,legislatura_IX,legislatura_X,legislatura_XI,legislatura_XII,legislatura_XIII,legislatura_XIV,instagram,legislatura_V,legislatura_VI,legislatura_VII,legislatura_VIII,linkedin,youtube,legislatura_II,legislatura_III,years
Gutiérrez Díaz de Otazu,PP,"Gutiérrez Díaz de Otazu, Fernando Adolfo",1,25/11/2019,Popular en el Congreso,52,Melilla,Fernando Adolfo,149,1957-03-29,"['XIII', 'XIV']",fernando.gutierrez@congreso.es,www.congreso.es/docu/imgweb/diputados/149_14.jpg,https://twitter.com/otazu35,,,,,,,XIII,XIV,,,,,,,,,,65
Gutiérrez Prieto,PSOE,"Gutiérrez Prieto, Sergio",1,25/11/2019,Socialista,45,Toledo,Sergio,180,1982-07-11,"['XIII', 'XIV']",sergio.gutierrez@congreso.es,www.congreso.es/docu/imgweb/diputados/180_14.jpg,https://twitter.com/Sergio_GP,,http://www.sergiogutierrez.es,,,,,XIII,XIV,,,,,,,,,,40
Gutiérrez Salinas,PSOE,"Gutiérrez Salinas, Indalecio",1,03/02/2020,Socialista,4,Almería,Indalecio,358,1974-09-04,['XIV'],indalecio.gutierrez@congreso.es,www.congreso.es/docu/imgweb/diputados/358_14.jpg,https://twitter.com/indasalinas,,,,,,,,XIV,,,,,,,,,,47
Gutiérrez Vivas,Cs,"Gutiérrez Vivas, Miguel Ángel",1,27/05/2020,Ciudadanos,28,Madrid,Miguel Ángel,375,1964-02-03,"['XI', 'XII', 'XIII', 'XIV']",miguel.gutierrez@congreso.es,www.congreso.es/docu/imgweb/diputados/375_14.jpg,https://twitter.com/MGutierrezCs,,,,,XI,XII,XIII,XIV,,,,,,,,,,58
Hernanz Costa,PSOE,"Hernanz Costa, Sofía",2,27/11/2019,Socialista,7,Balears (Illes),Sofía,289,1970-06-21,"['X', 'XI', 'XII', 'XIII', 'XIV']",sofia.hernanz@congreso.es,www.congreso.es/docu/imgweb/diputados/289_14.jpg,https://twitter.com/Hernanzsofia,https://www.facebook.com/sofiahernanz,,,X,XI,XII,XIII,XIV,,,,,,,,,,52
Herrero Bono,PP,"Herrero Bono, José Alberto",1,26/11/2019,Popular en el Congreso,44,Teruel,José Alberto,239,1978-07-02,"['X', 'XI', 'XII', 'XIII', 'XIV']",alberto.herrero@congreso.es,www.congreso.es/docu/imgweb/diputados/239_14.jpg,https://twitter.com/herrerobono,https://www.facebook.com/albertoherrbo,,,X,XI,XII,XIII,XIV,,,,,,,,,,44
Hispán Iglesias de Ussel,PP,"Hispán Iglesias de Ussel, Pablo",1,28/11/2019,Popular en el Congreso,18,Granada,Pablo,309,1973-11-12,['XIV'],,www.congreso.es/docu/imgweb/diputados/309_14.jpg,https://twitter.com/HispanPablo,,,,,,,,XIV,,,,,,,,,,48
Honrubia Hurtado,UP,"Honrubia Hurtado, Pedro Antonio",1,20/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,18,Granada,Pedro Antonio,68,1980-09-25,"['XIII', 'XIV']",pedro.honrubia@congreso.es,www.congreso.es/docu/imgweb/diputados/68_14.jpg,https://twitter.com/Eselkaos,,,,,,,XIII,XIV,,,,,,,,,,41
Hoyo Juliá,PP,"Hoyo Juliá, Belén",2,22/11/2019,Popular en el Congreso,46,Valencia/València,Belén,141,1984-05-05,"['X', 'XI', 'XII', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/141_14.jpg,https://twitter.com/BelenHoyo,https://www.facebook.com/belen.hoyojulia,,,X,XI,XII,XIII,XIV,https://www.instagram.com/belenhoyo/,,,,,,,,,38
Hurtado Zurera,PSOE,"Hurtado Zurera, Antonio",1,25/02/2020,Socialista,14,Córdoba,Antonio,372,1961-01-02,"['X', 'XI', 'XII', 'XIV']",antonio.hurtado@congreso.es,www.congreso.es/docu/imgweb/diputados/372_14.jpg,https://twitter.com/AntonioHurtado,https://www.facebook.com/antonio.hurtadozurera,,,X,XI,XII,,XIV,,,,,,,,,,61
Illamola Dausà,JxCat-JUNTS (Junts),"Illamola Dausà, Mariona",2,19/11/2019,Plural,17,Girona,Mariona,22,1967-01-11,['XIV'],mariona.illamola@congreso.es,www.congreso.es/docu/imgweb/diputados/22_14.jpg,https://twitter.com/MarionaID,,,,,,,,XIV,,,,,,,,,,55
Iñarritu García,EH Bildu,"Iñarritu García, Jon",1,20/11/2019,Euskal Herria Bildu,20,Gipuzkoa,Jon,62,1979-03-28,"['X', 'XIII', 'XIV']",jon.inarritu@congreso.es,www.congreso.es/docu/imgweb/diputados/62_14.jpg,https://twitter.com/JonInarritu,,,,X,,,XIII,XIV,,,,,,,,,,43
Jara Moreno,Vox,"Jara Moreno, Mercedes",2,17/11/2020,VOX,4,Almería,Mercedes,377,1963-06-27,['XIV'],mejamo@congreso.es,www.congreso.es/docu/imgweb/diputados/377_14.jpg,,,,,,,,,XIV,,,,,,,,,,59
Jerez Juan,PP,"Jerez Juan, Miguel Ángel",1,21/11/2019,Popular en el Congreso,7,Balears (Illes),Miguel Ángel,124,1974-01-28,['XIV'],miqueljerez@congreso.es,www.congreso.es/docu/imgweb/diputados/124_14.jpg,https://twitter.com/miqueljerez,,,,,,,,XIV,,,,,,,,,,48
Jiménez Linuesa,PP,"Jiménez Linuesa, Beatriz",2,26/11/2019,Popular en el Congreso,16,Cuenca,Beatriz,206,1985-05-26,['XIV'],beatriz.jimenez@congreso.es,www.congreso.es/docu/imgweb/diputados/206_14.jpg,https://twitter.com/Linuesita,https://www.facebook.com/beatriz.jimenezlinuesa,,,,,,,XIV,https://www.instagram.com/bealinuesita/,,,,,,,,,37
Jiménez Revuelta,Vox,"Jiménez Revuelta, Rodrigo",1,25/11/2019,VOX,40,Segovia,Rodrigo,165,1972-10-23,['XIV'],rodrigo.jimenez@congreso.es,www.congreso.es/docu/imgweb/diputados/165_14.jpg,https://twitter.com/rodrijr111,https://www.facebook.com/rodrigo.jimenezrevuelta,,,,,,,XIV,,,,,,,,,,49
José Vélez,PSOE,"José Vélez, Rafael",1,17/02/2020,Socialista,28,Madrid,Rafael,361,1954-05-13,['XIV'],rafael.jose@congreso.es,www.congreso.es/docu/imgweb/diputados/361_14.jpg,https://twitter.com/rafajosevelez,,,,,,,,XIV,,,,,,,,,,68
Jover Díaz,UP,"Jover Díaz, Antonia",2,29/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,7,Balears (Illes),Antonia,334,1958-12-13,"['XIII', 'XIV']",antonia.jover@congreso.es,www.congreso.es/docu/imgweb/diputados/334_14.jpg,https://twitter.com/Antonia_jover_,,,,,,,XIII,XIV,,,,,,,,,,63
Lamuà Estañol,PSC-PSOE,"Lamuà Estañol, Marc",1,26/11/2019,Socialista,17,Girona,Marc,200,1980-05-19,"['XI', 'XII', 'XIII', 'XIV']",marc.lamua@congreso.es,www.congreso.es/docu/imgweb/diputados/200_14.jpg,https://twitter.com/MarcLamua,https://www.facebook.com/marc.estanol,,,,XI,XII,XIII,XIV,,,,,,,,,,42
Lastra Fernández,PSOE,"Lastra Fernández, Adriana",2,21/11/2019,Socialista,33,Asturias,Adriana,109,1979-03-30,"['XI', 'XII', 'XIII', 'XIV']",vicesecretariageneral@psoe.es,www.congreso.es/docu/imgweb/diputados/109_14.jpg,https://twitter.com/Adrilastra,,,,,XI,XII,XIII,XIV,,,,,,,,,,43
Leal Fernández,PSOE,"Leal Fernández, Isaura",2,20/01/2020,Socialista,28,Madrid,Isaura,352,1959-04-06,"['XIII', 'XIV']",isaura.leal@congreso.es,www.congreso.es/docu/imgweb/diputados/352_14.jpg,https://twitter.com/isauralealf,,,,,,,XIII,XIV,,,,,,,,,,63
Ledesma Martín,PP,"Ledesma Martín, Sebastián Jesús",1,21/11/2019,Popular en el Congreso,38,S/C Tenerife,Sebastián Jesús,110,1964-01-14,['XIV'],sebastian.ledesma@congreso.es,www.congreso.es/docu/imgweb/diputados/110_14.jpg,https://twitter.com/SebastianLede15,,,,,,,,XIV,,,,,,,,,,58
Legarda Uriarte,EAJ-PNV,"Legarda Uriarte, Mikel",1,21/11/2019,Vasco (EAJ-PNV),1,Araba/Álava,Mikel,95,1956-12-12,"['XI', 'XII', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/95_14.jpg,https://twitter.com/MikelLegarda,https://www.facebook.com/legardamikel,,,,XI,XII,XIII,XIV,,,,,,,,,,65
Lima Cid,PSOE,"Lima Cid, Fuensanta",2,20/11/2019,Socialista,29,Málaga,Fuensanta,59,1966-12-24,"['XIII', 'XIV']",fuensanta.lima@congreso.es,www.congreso.es/docu/imgweb/diputados/59_14.jpg,https://twitter.com/fuensantalima,,,,,,,XIII,XIV,,,,,,,,,,55
López Álvarez,Vox,"López Álvarez, María Teresa",2,29/11/2019,VOX,51,Ceuta,María Teresa,327,1980-05-14,['XIV'],teresa.lopez@congreso.es,www.congreso.es/docu/imgweb/diputados/327_14.jpg,https://twitter.com/TeresaGdVinuesa,,,,,,,,XIV,,,,,,,,,,42
López Álvarez,PSE-EE-PSOE,"López Álvarez, Patxi",1,20/11/2019,Socialista,48,Bizkaia,Patxi,61,1959-10-04,"['III', 'XI', 'XII', 'XIII', 'XIV']",patxi.lopez@congreso.es,www.congreso.es/docu/imgweb/diputados/61_14.jpg,https://twitter.com/patxilopez,https://www.facebook.com/PatxiLopez,,,,XI,XII,XIII,XIV,,,,,,,,,III,62
López-Bas Valero,Cs,"López-Bas Valero, Juan Ignacio",1,13/04/2021,Ciudadanos,3,Alicante/Alacant,Juan Ignacio,383,1969-12-17,"['XIII', 'XIV']",jilopezbas@congreso.es,www.congreso.es/docu/imgweb/diputados/383_14.jpg,https://twitter.com/JILopezBas,,,,,,,XIII,XIV,,,,,,,,,,52
López Cano,PSOE,"López Cano, Ignacio",1,29/11/2019,Socialista,29,Málaga,Ignacio,343,1976-05-24,"['XIII', 'XIV']",ignacio.lopez@congreso.es,www.congreso.es/docu/imgweb/diputados/343_14.jpg,https://twitter.com/nasholop,,,,,,,XIII,XIV,,,,,,,,,,46
López de Uralde Garmendia,UP,"López de Uralde Garmendia, Juan Antonio",1,26/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,1,Araba/Álava,Juan Antonio,205,1963-09-08,"['XI', 'XII', 'XIII', 'XIV']",juantxo.uralde@congreso.es,www.congreso.es/docu/imgweb/diputados/205_14.jpg,https://twitter.com/juralde,https://www.facebook.com/juan.lopezdeuralde,http://www.juantxo.org/,,,XI,XII,XIII,XIV,https://www.instagram.com/juralde/,,,,,,,,,58
López Domínguez,ECP-GUAYEM EL CANVI,"López Domínguez, Laura",2,27/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,17,Girona,Laura,263,1983-10-30,['XIV'],laura.lopez@congreso.es,www.congreso.es/docu/imgweb/diputados/263_14.jpg,https://twitter.com/Lauralopezd,,,,,,,,XIV,https://www.instagram.com/lauralopez.lld/,,,,,,,,,38
López Maraver,Vox,"López Maraver, Ángel",1,28/11/2019,VOX,19,Guadalajara,Ángel,311,1984-07-18,['XIV'],angel.lopez@congreso.es,www.congreso.es/docu/imgweb/diputados/311_14.jpg,https://twitter.com/A_LopezMaraver,,,,,,,,XIV,,,,,,,,,,38
López Somoza,PSOE,"López Somoza, Gema",2,24/02/2020,Socialista,28,Madrid,Gema,363,1978-06-04,"['XII', 'XIV']",gema.lopez@congreso.es,www.congreso.es/docu/imgweb/diputados/363_14.jpg,https://twitter.com/GemaL_Somoza,,,,,,XII,,XIV,,,,,,,,,,44
López Zamora,PSOE,"López Zamora, Cristina",2,26/11/2019,Socialista,13,Ciudad Real,Cristina,224,1989-03-25,"['XIII', 'XIV']",cristina.lopez@congreso.es,www.congreso.es/docu/imgweb/diputados/224_14.jpg,,,,,,,,XIII,XIV,,,,,,,,,,33
Lorite Lorite,PP,"Lorite Lorite, Andrés",1,21/11/2019,Popular en el Congreso,14,Córdoba,Andrés,105,1976-08-08,"['XIII', 'XIV']",andres.lorite@congreso.es,www.congreso.es/docu/imgweb/diputados/105_14.jpg,https://twitter.com/AndresLorite,https://www.facebook.com/andres.lorite,,,,,,XIII,XIV,https://www.instagram.com/andres_lorite/,,,,,,,,,46
Losada Fernández,PSOE,"Losada Fernández, José",1,29/01/2020,Socialista,41,Sevilla,José,353,1966-03-06,['XIV'],jose.losada@congreso.es,www.congreso.es/docu/imgweb/diputados/353_14.jpg,https://twitter.com/pepelosadaf,,,,,,,,XIV,https://www.instagram.com/pepelosada/,,,,,,,,,56
Maestro Moliner,UP,"Maestro Moliner, Roser",2,27/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,46,Valencia/València,Roser,282,1988-11-18,"['XIII', 'XIV']",roser.maestro@congreso.es,www.congreso.es/docu/imgweb/diputados/282_14.jpg,https://twitter.com/Roser_Maestro,,,,,,,XIII,XIV,,,,,,,,,,33
Manglano Albacar,PP,"Manglano Albacar, Percival",1,05/04/2022,Popular en el Congreso,28,Madrid,Percival,390,1972-11-08,['XIV'],percival.manglano@congreso.es,www.congreso.es/docu/imgweb/diputados/390_14.jpg,https://twitter.com/pmanglano,,,,,,,,XIV,,,,,,https://es.linkedin.com/in/percival-manglano,,,,49
Manso Olivar,Vox,"Manso Olivar, Rubén Silvano",1,21/11/2019,VOX,29,Málaga,Rubén Silvano,119,1966-12-16,['XIV'],,www.congreso.es/docu/imgweb/diputados/119_14.jpg,https://twitter.com/rubenmansolivar,,,,,,,,XIV,,,,,,,,,,55
Marcos Domínguez,PP,"Marcos Domínguez, Pilar",2,22/11/2019,Popular en el Congreso,28,Madrid,Pilar,143,1962-05-22,"['X', 'XII', 'XIV']",pilar.marcos@congreso.es,www.congreso.es/docu/imgweb/diputados/143_14.jpg,https://twitter.com/pilarmarcosd,,,,X,,XII,,XIV,,,,,,,,,,60
Marcos Ortega,PP,"Marcos Ortega, Milagros",2,21/11/2019,Popular en el Congreso,34,Palencia,Milagros,92,1965-06-14,"['XIII', 'XIV']",mila.marcos@congreso.es,www.congreso.es/docu/imgweb/diputados/92_14.jpg,https://twitter.com/milamarcos08,,,,,,,XIII,XIV,,,,,,,,,,57
Margall Sastre,ERC-S,"Margall Sastre, Joan",1,26/11/2019,Republicano,17,Girona,Joan,193,1975-11-02,"['XII', 'XIII', 'XIV']",joan.margall@congreso.es,www.congreso.es/docu/imgweb/diputados/193_14.jpg,https://twitter.com/joanmargall,,,,,,XII,XIII,XIV,,,,,,,,,,46
Marí Klose,PSOE,"Marí Klose, Pau",1,20/11/2019,Socialista,50,Zaragoza,Pau,73,1972-12-15,"['XIII', 'XIV']",pmklose@congreso.es,www.congreso.es/docu/imgweb/diputados/73_14.jpg,https://twitter.com/pmklose,,,,,,,XIII,XIV,,,,,,,,,,49
Mariscal Anaya,PP,"Mariscal Anaya, Guillermo",1,29/11/2019,Popular en el Congreso,35,Palmas (Las),Guillermo,339,1974-05-09,"['VIII', 'IX', 'X', 'XI', 'XII', 'XIII', 'XIV']",guillermomariscal@congreso.es,www.congreso.es/docu/imgweb/diputados/339_14.jpg,https://twitter.com/gmariscalanaya,,,IX,X,XI,XII,XIII,XIV,,,,,VIII,,,,,48
Mariscal Zabala,Vox,"Mariscal Zabala, Manuel",1,25/11/2019,VOX,45,Toledo,Manuel,153,1992-01-23,"['XIII', 'XIV']",manuel.mariscal@congreso.es,www.congreso.es/docu/imgweb/diputados/153_14.jpg,https://twitter.com/MariscalZabala,,,,,,,XIII,XIV,,,,,,,,,,30
Marra Domínguez,PsdeG-PSOE,"Marra Domínguez, María Ángeles",2,20/11/2019,Socialista,36,Pontevedra,María Ángeles,46,1966-01-31,"['XIII', 'XIV']",angeles.marra@congreso.es,www.congreso.es/docu/imgweb/diputados/46_14.jpg,https://twitter.com/AngelesMarra,,,,,,,XIII,XIV,,,,,,,,,,56
Martínez Ferro,PP,"Martínez Ferro, María Valentina",2,29/11/2019,Popular en el Congreso,15,Coruña (A),María Valentina,341,1976-06-21,"['X', 'XII', 'XIII', 'XIV']",valentina.martinez@congreso.es,www.congreso.es/docu/imgweb/diputados/341_14.jpg,https://twitter.com/valentinam,,,,X,,XII,XIII,XIV,,,,,,,,,,46
Martínez Granados,Cs,"Martínez Granados, María Carmen",2,20/11/2019,Ciudadanos,11,Cádiz,María Carmen,60,1979-12-01,"['XIII', 'XIV']",mcarmen.martinez@congreso.es,www.congreso.es/docu/imgweb/diputados/60_14.jpg,https://twitter.com/MCMartinez_Cs,https://www.facebook.com/mcarmen.martinezgranados,,,,,,XIII,XIV,,,,,,,,,,42
Martínez Oblanca,PP-FORO,"Martínez Oblanca, Isidro Manuel",1,19/11/2019,Mixto,33,Asturias,Isidro Manuel,20,1956-11-12,"['XI', 'XII', 'XIV']",oblanca@congreso.es,www.congreso.es/docu/imgweb/diputados/20_14.jpg,https://twitter.com/imoblanca,,,,,XI,XII,,XIV,,,,,,,,,,65
Martínez Seijo,PSOE,"Martínez Seijo, María Luz",2,27/11/2019,Socialista,34,Palencia,María Luz,251,1968-11-10,"['XI', 'XII', 'XIII', 'XIV']",luz.martinez@congreso.es,www.congreso.es/docu/imgweb/diputados/251_14.jpg,https://twitter.com/luzseijo,https://www.facebook.com/maria.martinezseijo,,,,XI,XII,XIII,XIV,https://www.instagram.com/martinezseijo/,,,,,,,,,53
Matarí Sáez,PP,"Matarí Sáez, Juan José",1,20/11/2019,Popular en el Congreso,4,Almería,Juan José,48,1959-12-24,"['VII', 'VIII', 'IX', 'X', 'XI', 'XII', 'XIII', 'XIV']",jmatari@congreso.es,www.congreso.es/docu/imgweb/diputados/48_14.jpg,,,,IX,X,XI,XII,XIII,XIV,,,,VII,VIII,,,,,62
Mateu Istúriz,PP,"Mateu Istúriz, Jaime Miguel",1,21/11/2019,Popular en el Congreso,9,Burgos,Jaime Miguel,133,1957-06-05,"['XI', 'XII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/133_14.jpg,,,,,,XI,XII,,XIV,,,,,,,,,,65
Matute García de Jalón,EH Bildu,"Matute García de Jalón, Oskar",1,20/11/2019,Euskal Herria Bildu,48,Bizkaia,Oskar,63,1972-10-05,"['XII', 'XIII', 'XIV']",oskar.matute@congreso.es,www.congreso.es/docu/imgweb/diputados/63_14.jpg,https://twitter.com/oskarmatute,,,,,,XII,XIII,XIV,,,,,,,,,,49
Mayoral Perales,UP,"Mayoral Perales, Rafael",1,29/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,28,Madrid,Rafael,336,1974-03-26,"['XI', 'XII', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/336_14.jpg,https://twitter.com/MayoralRafa,,,,,XI,XII,XIII,XIV,,,,,,,,,,48
Mazón Ramos,PRC,"Mazón Ramos, José María",1,02/12/2019,Mixto,39,Cantabria,José María,349,1951-07-23,"['XIII', 'XIV']",josemaria.mazon@congreso.es,www.congreso.es/docu/imgweb/diputados/349_14.jpg,,,,,,,,XIII,XIV,,,,,,,,,,71
Medel Pérez,UP,"Medel Pérez, Rosa María",2,30/01/2020,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,46,Valencia/València,Rosa María,355,1957-02-02,['XIV'],rosa.medel@congreso.es,www.congreso.es/docu/imgweb/diputados/355_14.jpg,https://twitter.com/rosamedel11,,,,,,,,XIV,,,,,,,,,,65
Meijón Couselo,PsdeG-PSOE,"Meijón Couselo, Guillermo Antonio",1,18/11/2019,Socialista,36,Pontevedra,Guillermo Antonio,1,1958-03-14,"['X', 'XI', 'XII', 'XIII', 'XIV']",guillermo.meijon@congreso.es,www.congreso.es/docu/imgweb/diputados/1_14.jpg,https://twitter.com/guillermomeijon,https://www.facebook.com/guillermomeijon,,,X,XI,XII,XIII,XIV,,,,,,,,,,64
Mena Arca,ECP-GUAYEM EL CANVI,"Mena Arca, Joan",1,27/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,8,Barcelona,Joan,264,1975-10-24,"['XI', 'XII', 'XIII', 'XIV']",joan.mena@congreso.es,www.congreso.es/docu/imgweb/diputados/264_14.jpg,https://twitter.com/joanmena,https://www.facebook.com/joanmena,,,,XI,XII,XIII,XIV,,,,,,,,,,46
Méndez Monasterio,Vox,"Méndez Monasterio, Lourdes",2,25/11/2019,VOX,30,Murcia,Lourdes,177,1957-02-11,"['VIII', 'IX', 'X', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/177_14.jpg,https://twitter.com/LourdesMndezM1,,,IX,X,,,XIII,XIV,,,,,VIII,,,,,65
Merino Martínez,PP,"Merino Martínez, Javier",1,22/11/2019,Popular en el Congreso,26,Rioja (La),Javier,138,1979-01-18,['XIV'],javier.merino@congreso.es,www.congreso.es/docu/imgweb/diputados/138_14.jpg,https://twitter.com/javier_merino,,,,,,,,XIV,https://www.instagram.com/javiermerinomartinez/,,,,,,,,,43
Mestre Barea,Vox,"Mestre Barea, Manuel",1,27/11/2019,VOX,3,Alicante/Alacant,Manuel,268,1952-01-03,"['XIII', 'XIV']",mestre.manuel@congreso.es,www.congreso.es/docu/imgweb/diputados/268_14.jpg,https://twitter.com/mestremanuel,,,,,,,XIII,XIV,,,,,,,,,,70
Mínguez García,PSC-PSOE,"Mínguez García, Montse",2,26/11/2019,Socialista,25,Lleida,Montse,199,1976-07-02,"['XIII', 'XIV']",mminguez@congreso.es,www.congreso.es/docu/imgweb/diputados/199_14.jpg,https://twitter.com/montseminguez,,,,,,,XIII,XIV,,,,,,,,,,46
Miquel i Valentí,JxCat-JUNTS (PDeCAT),"Miquel i Valentí, Sergi",1,19/11/2019,Plural,17,Girona,Sergi,23,1989-12-24,"['XII', 'XIII', 'XIV']",sergi.miquel@congreso.es,www.congreso.es/docu/imgweb/diputados/23_14.jpg,https://twitter.com/sergimiquel,,,,,,XII,XIII,XIV,,,,,,,,,,32
Miralles Martín,Vox,"Miralles Martín, Onofre",1,11/07/2022,VOX,18,Granada,Onofre,394,1974-10-28,['XIV'],onomiralles@congreso.es,www.congreso.es/docu/imgweb/diputados/394_14.jpg,https://twitter.com/onofremiralles,,,,,,,,XIV,,,,,,,,,,47
Moneo Díez,PP,"Moneo Díez, María Sandra",2,29/11/2019,Popular en el Congreso,9,Burgos,María Sandra,337,1969-07-14,"['VI', 'VII', 'VIII', 'IX', 'X', 'XI', 'XII', 'XIII', 'XIV']",sandra.moneo@congreso.es,www.congreso.es/docu/imgweb/diputados/337_14.jpg,,,,IX,X,XI,XII,XIII,XIV,,,VI,VII,VIII,,,,,53
Montero Cuadrado,PSOE,"Montero Cuadrado, María Jesús",2,26/11/2019,Socialista,41,Sevilla,María Jesús,225,1966-02-04,"['XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/225_14.jpg,https://twitter.com/mjmonteroc,,,,,,,XIII,XIV,,,,,,,,,,56
Montero Gil,UP,"Montero Gil, Irene María",2,29/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,28,Madrid,Irene María,329,1988-02-13,"['XI', 'XII', 'XIII', 'XIV']",irenemontero@congreso.es,www.congreso.es/docu/imgweb/diputados/329_14.jpg,https://twitter.com/Irene_Montero_,,,,,XI,XII,XIII,XIV,https://www.instagram.com/i_montero_/,,,,,,,,,34
Montesinos de Miguel,PP,"Montesinos de Miguel, Macarena",2,02/12/2019,Popular en el Congreso,3,Alicante/Alacant,Macarena,346,1961-09-30,"['VIII', 'IX', 'X', 'XIII', 'XIV']",macarenamontesinos@congreso.es,www.congreso.es/docu/imgweb/diputados/346_14.jpg,https://twitter.com/MackMontesinos,,,IX,X,,,XIII,XIV,,,,,VIII,,,,,60
Moraleja Gómez,PP,"Moraleja Gómez, Tristana María",2,20/11/2019,Popular en el Congreso,15,Coruña (A),Tristana María,57,1971-08-17,"['X', 'XII', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/57_14.jpg,https://twitter.com/TristanaMg,,,,X,,XII,XIII,XIV,,,,,,,,,,51
Moro Almaraz,PP,"Moro Almaraz, María Jesús",2,21/11/2019,Popular en el Congreso,37,Salamanca,María Jesús,91,1961-03-14,"['X', 'XI', 'XII', 'XIII', 'XIV']",mariajesus.moro@congreso.es,www.congreso.es/docu/imgweb/diputados/91_14.jpg,https://twitter.com/MoroMjesus,,,,X,XI,XII,XIII,XIV,,,,,,,,,,61
Movellán Lombilla,PP,"Movellán Lombilla, Diego",1,20/11/2019,Popular en el Congreso,39,Cantabria,Diego,78,1979-07-01,"['XII', 'XIII', 'XIV']",diego.movellan@congreso.es,www.congreso.es/docu/imgweb/diputados/78_14.jpg,https://twitter.com/DiegoMovellan,https://www.facebook.com/diegomovellan,,,,,XII,XIII,XIV,,,,,,,,,,43
Muguruza Guarrochena,HB,"Muguruza Guarrochena, Jesús",1,20/11/1989,,48,Vizcaya,Jesús,343,1976-05-24,"['XIII', 'XIV']",ignacio.lopez@congreso.es,www.congreso.es/docu/imgweb/diputados/343_14.jpg,https://twitter.com/nasholop,,,,,,,XIII,XIV,,,,,,,,,,46
Muñoz Dalda,UP,"Muñoz Dalda, Lucía",2,29/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,7,Balears (Illes),Lucía,335,1993-09-25,"['XIII', 'XIV']",lucia.munoz@congreso.es,www.congreso.es/docu/imgweb/diputados/335_14.jpg,https://twitter.com/luciadalda,https://www.facebook.com/luciamunozdalda,,,,,,XIII,XIV,https://www.instagram.com/luciadalda/,,,,,,,,,28
Muñoz Vidal,Cs,"Muñoz Vidal, María",2,29/11/2019,Ciudadanos,46,Valencia/València,María,333,1978-04-27,"['XIII', 'XIV']",maria.munozvidal@congreso.es,www.congreso.es/docu/imgweb/diputados/333_14.jpg,https://twitter.com/mariadelamiel,,,,,,,XIII,XIV,,,,,,,,,,44
Narváez Bandera,PSOE,"Narváez Bandera, María Dolores",2,25/11/2019,Socialista,29,Málaga,María Dolores,154,1976-06-04,"['XIII', 'XIV']",mariadolores.narvaez@congreso.es,www.congreso.es/docu/imgweb/diputados/154_14.jpg,https://twitter.com/MariloNarvaez,https://www.facebook.com/marilo.narvaez.79,,,,,,XIII,XIV,,,,,,,,,,46
Nasarre Oliva,PSOE,"Nasarre Oliva, Begoña",2,28/11/2019,Socialista,22,Huesca,Begoña,313,1978-07-19,"['XIII', 'XIV']",begona.nasarre@congreso.es,www.congreso.es/docu/imgweb/diputados/313_14.jpg,https://twitter.com/Begonasarre,https://www.facebook.com/begonasarre,,,,,,XIII,XIV,,,,,,,,,,44
Navalpotro Gómez,PSOE,"Navalpotro Gómez, Julio",1,24/02/2020,Socialista,28,Madrid,Julio,366,1971-10-25,['XIV'],julio.navalpotro@congreso.es,www.congreso.es/docu/imgweb/diputados/366_14.jpg,https://twitter.com/NavalpotroJulio,,,,,,,,XIV,,,,,,,,,,50
Navarro Lacoba,PP,"Navarro Lacoba, Carmen",2,20/11/2019,Popular en el Congreso,2,Albacete,Carmen,82,1978-06-13,"['XI', 'XII', 'XIII', 'XIV']",carmen.navarro@congreso.es,www.congreso.es/docu/imgweb/diputados/82_14.jpg,https://twitter.com/CnLacoba,,,,,XI,XII,XIII,XIV,,,,,,,,,,44
Navarro López,PP,"Navarro López, Pedro",1,26/11/2019,Popular en el Congreso,50,Zaragoza,Pedro,220,1977-06-16,['XIV'],pedro.navarro@congreso.es,www.congreso.es/docu/imgweb/diputados/220_14.jpg,https://twitter.com/PedroNavarroL,,,,,,,,XIV,https://www.instagram.com/pedro_navarr0/,,,,,,,,,45
